hr,sys,dia,spo2,stress
79,124,79,97,1
102,124,85,95,2
72,125,78,98,0
68,120,84,99,0
110,120,89,100,2
60,126,89,98,0
74,125,83,96,0
99,117,79,98,2
97,125,73,98,2
105,121,83,98,2
71,114,80,98,0
107,135,84,95,2
60,124,83,96,0
87,115,87,95,2
77,112,82,97,1
89,111,70,98,1
75,126,76,98,0
96,111,71,98,2
68,116,82,99,0
104,113,70,99,2
100,120,78,96,2
108,111,73,95,2
81,123,77,99,1
60,111,74,96,0
106,114,88,98,2
74,114,71,95,2
80,111,81,94,2
72,125,87,100,0
91,131,87,95,2
83,128,90,99,1
106,112,75,95,2
108,114,81,96,2
99,116,73,98,2
96,114,82,95,2
85,128,87,94,2
100,113,75,100,2
99,120,72,96,2
67,130,77,100,0
99,113,87,98,2
66,117,79,99,0
62,114,73,95,2
72,122,90,95,2
79,120,86,94,2
62,116,89,97,0
98,121,75,94,2
100,126,74,99,2
66,115,82,100,0
95,114,83,98,1
79,134,82,96,1
103,112,77,98,2
96,132,76,99,2
95,135,71,95,2
76,112,83,99,1
66,134,72,100,0
98,112,74,95,2
87,130,74,97,1
86,117,83,98,1
101,130,77,96,2
74,122,83,94,2
99,123,80,100,2
81,122,77,94,2
92,134,74,97,1
99,127,84,94,2
79,132,89,94,2
70,121,85,96,0
90,127,80,100,1
96,121,80,95,2
83,124,81,96,1
102,118,72,95,2
99,135,82,97,2
88,130,71,95,2
82,124,75,97,1
65,134,75,100,0
70,123,89,97,0
102,111,82,97,2
106,123,73,98,2
63,133,77,98,0
88,128,82,94,2
98,110,88,100,2
83,120,74,97,1
110,117,73,99,2
63,112,90,99,0
95,121,75,95,2
61,115,82,98,0
81,129,89,95,2
80,125,72,100,1
88,130,84,99,1
98,124,81,95,2
82,131,75,99,1
67,133,88,97,0
87,126,78,97,1
89,111,86,98,1
97,116,79,95,2
76,115,88,94,2
96,113,89,98,2
60,125,79,97,0
84,111,77,100,1
96,118,77,97,2
96,131,70,100,2
92,119,71,94,2
101,114,78,96,2
60,118,87,100,0
80,111,78,96,1
105,129,81,100,2
91,133,72,97,1
61,119,73,97,0
65,117,71,94,2
99,127,72,94,2
62,120,73,98,0
94,127,74,95,2
68,116,76,94,2
88,134,72,100,1
64,120,81,97,0
74,111,80,95,2
88,115,78,99,1
105,128,72,100,2
71,130,70,94,2
70,124,75,94,2
95,123,72,100,1
64,127,70,98,0
100,124,73,97,2
109,130,89,96,2
102,117,84,100,2
64,119,77,95,2
110,110,73,97,2
108,120,71,100,2
99,133,70,100,2
75,119,83,100,0
60,131,90,96,0
98,121,73,95,2
64,122,76,94,2
95,127,85,95,2
106,118,70,98,2
96,124,83,94,2
70,130,83,97,0
71,110,86,100,0
61,121,79,94,2
98,117,81,98,2
91,116,76,100,1
61,110,72,98,0
90,118,74,98,1
65,135,73,95,2
100,118,77,95,2
71,117,74,99,0
110,117,83,99,2
98,124,74,97,2
91,110,75,99,1
66,114,70,94,2
108,134,71,100,2
81,134,81,99,1
71,110,82,97,0
62,118,75,97,0
87,125,77,97,1
89,115,85,99,1
92,115,87,98,1
82,118,84,94,2
89,129,84,97,1
89,114,87,96,1
89,128,71,95,2
60,123,72,97,0
84,125,81,99,1
100,118,86,94,2
86,124,82,98,1
78,131,74,97,1
66,119,84,95,2
94,121,74,97,1
100,124,78,100,2
101,111,74,95,2
81,118,86,99,1
77,132,74,97,1
72,125,70,94,2
79,110,87,95,2
93,112,86,100,1
95,126,73,95,2
73,130,77,96,0
87,113,73,96,1
78,110,86,95,2
107,120,81,94,2
74,120,88,95,2
110,114,76,97,2
71,135,90,97,0
106,111,76,100,2
95,122,80,94,2
86,134,70,97,1
85,113,72,97,1
63,127,73,95,2
77,129,84,100,1
78,115,87,95,2
79,132,89,100,1
86,113,83,97,1
89,114,88,99,1
82,121,81,99,1
71,123,85,94,2
69,116,76,96,0
107,116,83,96,2
83,124,85,96,1
63,114,81,94,2
74,117,76,95,2
107,110,75,97,2
65,122,70,96,0
70,124,86,100,0
70,122,71,98,0
67,124,85,95,2
110,110,75,97,2
84,129,84,95,2
89,131,70,94,2
99,132,77,96,2
97,129,90,99,2
105,118,87,95,2
95,117,78,100,1
69,118,89,94,2
105,125,90,97,2
81,128,76,97,1
99,113,71,96,2
98,129,85,98,2
87,122,79,94,2
77,123,72,99,1
72,120,76,99,0
98,116,80,99,2
75,119,74,95,2
106,112,81,94,2
62,117,70,96,0
103,129,88,96,2
81,118,79,99,1
75,132,90,96,0
78,127,81,100,1
79,122,72,100,1
96,118,86,96,2
84,120,72,96,1
93,112,80,98,1
99,126,74,96,2
83,129,74,98,1
89,118,74,98,1
79,113,88,95,2
93,134,70,95,2
100,128,85,95,2
105,120,81,100,2
97,123,74,100,2
88,129,86,98,1
73,132,90,100,0
92,128,81,98,1
106,132,73,100,2
78,135,80,94,2
103,120,81,100,2
102,121,83,98,2
106,112,88,98,2
97,130,79,95,2
90,133,82,100,1
108,112,74,97,2
82,114,78,95,2
97,131,74,94,2
103,132,83,99,2
102,125,76,96,2
81,119,77,94,2
63,125,83,94,2
92,116,72,95,2
62,128,89,95,2
71,135,82,95,2
100,131,74,100,2
106,114,88,100,2
70,119,80,95,2
94,135,90,96,1
74,125,82,98,0
97,115,70,97,2
93,115,80,95,2
100,133,72,98,2
92,127,76,99,1
65,110,73,95,2
91,113,86,99,1
80,113,90,98,1
63,116,70,100,0
87,113,78,100,1
64,128,78,96,0
72,110,79,99,0
76,128,81,95,2
79,110,90,99,1
102,127,83,100,2
82,116,80,98,1
73,125,84,99,0
90,123,73,100,1
73,126,77,95,2
69,110,70,98,0
81,110,74,98,1
97,115,72,98,2
84,119,81,99,1
96,111,75,97,2
81,117,72,97,1
103,128,74,94,2
83,128,77,96,1
90,121,90,98,1
85,131,76,97,1
101,127,81,96,2
95,121,85,94,2
69,122,85,97,0
65,111,90,97,0
93,122,75,95,2
109,123,86,98,2
97,132,81,96,2
96,114,78,98,2
82,131,76,99,1
87,120,89,94,2
86,132,90,95,2
83,120,85,100,1
107,133,80,98,2
65,134,90,94,2
102,113,86,96,2
68,125,85,97,0
72,129,88,94,2
75,126,77,95,2
99,133,75,94,2
82,110,88,96,1
68,126,87,99,0
80,135,74,98,1
69,124,78,98,0
95,123,83,96,1
72,117,73,96,0
84,125,79,94,2
91,112,85,95,2
71,130,75,97,0
60,119,72,96,0
87,135,83,98,1
100,111,89,99,2
104,125,89,94,2
88,129,88,94,2
93,111,87,98,1
79,118,88,96,1
72,129,73,99,0
90,112,81,100,1
61,133,90,98,0
86,121,77,94,2
108,119,70,94,2
62,120,78,94,2
85,126,70,94,2
60,133,89,95,2
107,118,77,98,2
80,124,81,98,1
110,124,77,96,2
109,134,75,98,2
73,130,78,100,0
94,129,86,100,1
94,121,70,100,1
79,112,86,96,1
86,133,83,98,1
104,126,74,96,2
88,117,80,97,1
108,125,88,94,2
80,132,78,98,1
64,114,83,95,2
108,114,82,100,2
88,130,72,94,2
104,128,89,96,2
71,129,83,94,2
92,131,83,99,1
89,120,79,96,1
102,117,74,97,2
79,118,71,97,1
98,135,70,99,2
90,126,79,98,1
110,123,86,100,2
100,119,90,95,2
82,112,88,97,1
70,127,81,95,2
66,119,75,94,2
79,129,81,96,1
86,132,71,99,1
110,115,89,95,2
76,132,79,97,1
84,121,82,99,1
101,135,74,100,2
100,135,88,98,2
80,128,82,96,1
108,134,71,100,2
93,126,79,94,2
81,120,83,98,1
63,117,75,99,0
98,131,74,96,2
70,128,76,96,0
67,134,80,97,0
106,133,90,96,2
101,117,75,94,2
68,110,90,100,0
73,133,80,95,2
60,134,84,97,0
93,125,73,96,1
108,118,82,98,2
65,126,83,95,2
96,113,86,96,2
64,131,86,95,2
79,124,82,100,1
96,120,78,98,2
105,135,86,99,2
102,130,79,94,2
108,134,74,96,2
74,133,85,95,2
97,127,87,94,2
99,117,73,98,2
77,115,86,100,1
93,115,74,99,1
83,130,73,98,1
92,132,88,96,1
64,130,75,100,0
98,121,83,94,2
107,121,73,97,2
109,133,88,94,2
99,128,79,100,2
71,125,72,96,0
101,124,90,97,2
79,121,87,97,1
94,114,87,94,2
72,124,75,99,0
108,116,76,95,2
89,126,80,96,1
74,133,73,100,0
87,110,81,98,1
73,123,90,97,0
93,135,89,96,1
83,114,90,98,1
102,114,76,94,2
86,112,71,94,2
62,123,88,98,0
99,122,81,99,2
108,123,89,100,2
103,130,77,96,2
85,113,86,95,2
81,123,87,94,2
64,135,81,94,2
74,113,77,95,2
68,112,82,95,2
96,124,79,96,2
72,117,72,95,2
81,116,76,97,1
68,110,84,98,0
81,125,85,97,1
102,134,75,98,2
62,114,77,99,0
100,111,76,98,2
103,118,85,94,2
108,118,70,100,2
95,134,86,97,1
109,125,83,98,2
88,133,76,94,2
70,132,70,96,0
95,122,73,99,1
92,118,83,98,1
104,113,90,96,2
88,135,86,95,2
109,123,87,99,2
71,120,76,96,0
77,111,86,98,1
93,124,89,96,1
88,111,88,95,2
88,130,79,96,1
107,128,72,95,2
88,129,82,98,1
76,118,88,99,1
67,111,71,100,0
95,114,84,99,1
103,116,83,94,2
104,128,85,97,2
76,130,71,99,1
81,124,79,95,2
85,123,72,100,1
65,113,87,100,0
102,110,84,100,2
108,125,76,99,2
98,113,75,100,2
97,114,77,99,2
69,111,83,98,0
102,134,75,97,2
105,135,88,98,2
83,124,72,96,1
80,123,72,98,1
92,129,88,96,1
92,123,79,95,2
76,110,82,97,1
95,121,81,99,1
79,128,83,97,1
80,129,78,97,1
101,116,78,95,2
84,115,70,100,1
109,128,80,97,2
110,127,88,96,2
110,124,79,100,2
76,123,78,96,1
105,128,74,100,2
68,124,76,96,0
79,114,81,96,1
90,129,78,96,1
69,122,84,96,0
110,118,78,97,2
76,119,70,97,1
86,122,73,100,1
93,131,88,94,2
102,132,86,99,2
65,130,76,98,0
73,113,84,98,0
76,112,74,100,1
110,114,74,97,2
101,127,88,97,2
95,135,86,97,1
81,117,85,98,1
93,120,73,98,1
93,116,80,98,1
87,133,80,94,2
66,114,73,99,0
98,117,74,98,2
68,124,80,94,2
93,122,89,95,2
90,134,78,100,1
74,127,75,98,0
90,126,79,96,1
60,117,71,94,2
109,115,89,97,2
94,133,79,94,2
102,120,90,94,2
90,127,74,95,2
68,116,90,97,0
63,123,78,99,0
103,127,88,96,2
73,128,82,94,2
79,124,85,95,2
93,128,78,98,1
77,135,82,96,1
92,122,75,97,1
86,134,85,96,1
95,113,90,99,1
72,126,86,98,0
78,115,84,94,2
76,122,88,100,1
91,111,77,99,1
102,119,70,100,2
89,125,70,100,1
104,110,78,100,2
90,133,82,99,1
62,131,75,95,2
105,128,77,100,2
107,133,73,94,2
90,112,79,96,1
105,115,81,95,2
91,124,90,95,2
77,130,78,96,1
108,113,79,97,2
90,133,71,98,1
81,121,75,98,1
86,133,76,96,1
72,122,80,95,2
67,118,84,100,0
64,118,75,95,2
103,132,89,95,2
95,131,78,95,2
109,116,89,99,2
81,132,89,97,1
83,121,73,97,1
74,127,80,94,2
100,126,80,96,2
65,131,70,100,0
109,119,72,95,2
60,126,87,94,2
90,121,85,94,2
106,122,76,98,2
98,125,86,99,2
72,115,84,97,0
87,133,73,95,2
93,110,73,96,1
64,130,79,97,0
60,110,90,98,0
100,129,79,96,2
90,116,76,97,1
78,122,89,97,1
60,112,85,94,2
78,111,87,94,2
95,121,84,99,1
105,130,87,100,2
100,116,74,97,2
103,118,71,94,2
82,116,83,98,1
73,134,87,100,0
92,115,82,96,1
105,133,76,96,2
84,129,75,99,1
88,116,84,94,2
82,122,84,96,1
81,116,80,96,1
70,120,73,99,0
93,134,79,96,1
79,116,71,100,1
73,127,77,96,0
99,128,90,100,2
65,119,79,97,0
99,129,82,94,2
84,118,70,97,1
64,121,90,100,0
69,112,90,94,2
92,112,83,95,2
110,122,71,94,2
69,133,86,99,0
91,118,84,94,2
84,129,72,100,1
84,119,77,99,1
96,119,79,99,2
63,129,71,100,0
66,127,80,100,0
103,114,88,97,2
108,121,73,97,2
79,133,77,97,1
100,134,84,95,2
108,135,90,97,2
91,130,79,100,1
110,118,80,95,2
108,132,79,95,2
95,122,83,96,1
85,130,90,95,2
85,118,90,100,1
107,114,88,94,2
97,115,84,100,2
85,111,74,100,1
85,111,75,100,1
64,121,73,100,0
76,123,90,96,1
107,113,76,94,2
61,127,79,99,0
79,125,86,100,1
67,124,81,100,0
109,128,79,94,2
105,124,87,100,2
68,123,77,100,0
80,115,80,99,1
77,129,88,97,1
62,111,75,94,2
85,121,89,97,1
88,115,90,96,1
89,116,81,98,1
78,122,81,99,1
63,118,83,95,2
102,122,87,100,2
66,123,75,99,0
100,125,79,94,2
100,115,85,97,2
61,132,90,97,0
82,130,89,100,1
62,121,82,95,2
74,112,81,94,2
101,113,85,100,2
69,119,75,99,0
85,119,72,99,1
72,125,87,96,0
107,123,75,99,2
82,133,75,94,2
89,132,82,96,1
78,112,83,94,2
97,134,73,97,2
77,131,72,96,1
73,130,70,95,2
61,121,83,98,0
66,123,80,97,0
86,112,70,95,2
63,115,85,100,0
110,125,70,94,2
97,128,72,94,2
91,120,87,96,1
67,129,88,97,0
61,119,74,99,0
71,126,89,96,0
105,123,84,99,2
77,121,73,96,1
93,128,89,95,2
68,125,78,97,0
78,131,77,98,1
102,121,78,99,2
62,118,90,94,2
89,125,81,96,1
86,130,78,94,2
60,110,86,100,0
110,132,76,99,2
109,127,87,94,2
96,120,88,98,2
108,119,75,94,2
71,128,75,97,0
86,125,81,96,1
66,135,83,99,0
81,112,84,97,1
109,123,80,95,2
75,131,76,95,2
82,115,88,96,1
82,114,81,95,2
60,129,90,99,0
90,110,88,100,1
75,131,76,96,0
86,126,72,97,1
74,129,77,96,0
98,116,82,100,2
68,126,73,95,2
101,124,77,97,2
109,133,90,98,2
93,114,88,94,2
85,131,72,97,1
83,124,70,98,1
107,127,79,94,2
101,120,88,96,2
73,113,87,100,0
77,116,85,97,1
86,132,90,97,1
90,132,87,97,1
107,116,90,97,2
110,129,85,97,2
110,129,72,99,2
74,127,72,96,0
85,128,83,95,2
71,121,79,97,0
89,122,88,97,1
82,127,86,97,1
93,116,82,100,1
73,130,83,100,0
62,124,77,94,2
66,113,73,100,0
106,129,88,100,2
76,135,88,97,1
108,131,83,94,2
83,119,73,100,1
75,122,71,94,2
109,115,73,96,2
100,113,80,94,2
96,119,70,94,2
63,124,89,99,0
74,116,70,95,2
67,122,71,95,2
82,119,84,95,2
82,120,71,94,2
67,123,72,95,2
79,124,84,95,2
110,127,81,95,2
74,118,87,98,0
83,130,76,97,1
96,121,77,100,2
108,116,86,96,2
74,118,77,95,2
108,117,80,100,2
85,117,85,94,2
93,115,79,96,1
102,130,89,95,2
110,110,81,97,2
68,117,70,95,2
67,135,88,98,0
87,116,87,97,1
64,119,89,99,0
82,113,88,96,1
104,129,84,100,2
74,135,77,96,0
76,110,78,95,2
70,131,88,94,2
60,132,80,96,0
86,113,81,94,2
75,112,83,100,0
106,135,90,99,2
86,118,83,95,2
98,127,80,96,2
108,131,73,98,2
104,115,82,99,2
90,114,85,99,1
79,118,78,97,1
92,118,90,100,1
98,110,78,98,2
94,118,82,95,2
64,130,84,94,2
101,125,83,100,2
101,114,79,94,2
101,134,83,96,2
97,112,90,99,2
110,119,78,96,2
73,125,88,100,0
93,120,76,99,1
82,120,84,97,1
106,124,88,99,2
83,135,74,94,2
99,119,79,94,2
91,126,78,94,2
88,125,72,98,1
101,113,87,99,2
95,118,86,94,2
97,110,79,100,2
94,111,73,95,2
103,124,74,95,2
64,116,89,98,0
76,116,89,97,1
78,123,80,94,2
94,133,88,99,1
63,132,88,95,2
86,118,88,98,1
60,114,90,94,2
93,118,85,97,1
92,119,87,98,1
70,117,76,99,0
96,120,72,99,2
101,125,90,94,2
100,110,73,97,2
62,110,89,99,0
60,130,90,96,0
97,127,79,100,2
107,113,73,97,2
110,118,71,96,2
61,125,79,99,0
76,118,88,95,2
80,115,86,99,1
98,127,78,100,2
88,116,82,96,1
65,123,74,94,2
71,116,74,96,0
74,119,78,96,0
63,115,70,96,0
104,135,76,99,2
93,133,70,95,2
75,135,86,99,0
106,122,73,97,2
84,110,70,98,1
73,118,82,100,0
97,114,83,95,2
109,114,79,95,2
77,132,72,95,2
63,110,87,98,0
88,111,90,96,1
87,115,82,95,2
91,128,72,94,2
105,129,86,97,2
108,134,84,98,2
92,132,89,97,1
105,126,77,97,2
90,111,87,97,1
106,115,83,94,2
65,111,70,95,2
99,125,82,100,2
86,131,75,94,2
93,114,75,95,2
77,122,72,97,1
68,124,77,98,0
78,133,72,100,1
103,114,79,100,2
84,120,86,97,1
103,128,75,96,2
78,118,76,95,2
92,126,78,96,1
74,127,80,94,2
88,115,90,97,1
106,128,75,100,2
70,113,79,97,0
85,135,82,98,1
61,123,73,94,2
90,132,73,98,1
67,123,70,97,0
102,117,73,96,2
83,123,83,94,2
99,128,82,99,2
60,116,73,95,2
88,110,84,94,2
67,122,78,96,0
107,111,70,96,2
84,118,78,98,1
102,128,71,96,2
67,131,87,99,0
78,114,76,97,1
63,110,83,100,0
100,126,70,95,2
102,124,74,100,2
85,116,76,100,1
102,111,74,99,2
98,110,89,98,2
103,112,81,94,2
87,135,79,97,1
76,134,75,100,1
78,112,84,94,2
107,131,75,100,2
66,118,82,94,2
98,134,89,94,2
91,132,85,98,1
73,125,77,96,0
79,131,74,100,1
73,131,79,95,2
110,114,83,96,2
85,135,81,95,2
70,129,86,100,0
60,124,71,100,0
109,132,82,99,2
100,112,85,98,2
79,131,72,97,1
64,117,88,100,0
96,110,84,99,2
87,122,78,94,2
83,112,81,98,1
79,133,70,97,1
88,134,84,100,1
73,110,79,99,0
63,125,82,98,0
84,110,80,94,2
106,134,88,96,2
100,118,80,97,2
86,118,70,98,1
82,116,90,98,1
77,118,76,95,2
71,133,72,97,0
105,113,78,99,2
75,128,79,96,0
104,131,72,99,2
86,119,83,99,1
67,126,72,95,2
109,132,76,98,2
94,124,74,98,1
105,134,84,97,2
98,116,83,94,2
103,113,71,94,2
86,125,85,94,2
87,128,84,99,1
66,113,84,97,0
96,124,86,97,2
68,112,75,96,0
97,133,78,97,2
67,121,88,96,0
106,135,81,100,2
83,123,76,96,1
103,126,89,94,2
106,117,75,98,2
60,129,76,95,2
64,118,71,100,0
108,127,77,94,2
68,116,73,94,2
61,111,90,96,0
76,122,72,99,1
90,114,79,97,1
96,133,75,95,2
107,124,76,95,2
95,110,83,100,1
66,123,87,95,2
109,115,78,94,2
91,117,75,100,1
84,118,74,98,1
70,113,73,98,0
103,112,82,97,2
85,118,72,97,1
83,131,80,96,1
78,133,76,98,1
89,112,72,99,1
64,111,87,94,2
90,126,70,94,2
86,128,88,98,1
110,118,88,95,2
69,130,82,96,0
92,132,82,95,2
106,115,71,96,2
105,115,79,100,2
103,131,85,94,2
64,115,83,98,0
62,128,77,99,0
107,132,87,100,2
99,129,79,97,2
63,131,80,97,0
67,123,74,99,0
73,111,89,96,0
79,112,70,98,1
100,116,90,94,2
63,123,77,96,0
60,117,83,96,0
101,133,88,97,2
108,133,79,94,2
78,112,72,96,1
92,123,71,99,1
107,119,81,97,2
107,121,72,100,2
60,129,77,97,0
78,120,74,99,1
64,115,71,94,2
73,114,89,97,0
93,111,84,97,1
107,133,73,95,2
85,119,87,97,1
86,127,84,98,1
66,130,75,99,0
97,118,88,96,2
61,116,90,96,0
96,129,90,99,2
71,115,80,99,0
73,125,77,98,0
90,123,75,98,1
84,127,72,95,2
76,120,81,100,1
62,115,88,98,0
86,126,88,97,1
75,123,90,95,2
108,115,87,99,2
101,128,88,100,2
76,121,84,97,1
71,125,83,94,2
86,113,83,98,1
62,130,82,96,0
87,112,80,95,2
84,130,74,99,1
71,110,79,98,0
92,130,90,99,1
83,133,83,100,1
